Min.Price,Price,Max.Price,Cylinders,EngineSize,Horsepower,RPM,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Weight
12.9,15.9,18.8,4,1.8,140,6300,13.2,5,177,102,68,2705
29.2,33.9,38.7,6,3.2,200,5500,18,5,195,115,71,3560
25.9,29.1,32.3,6,2.8,172,5500,16.9,5,180,102,67,3375
30.8,37.7,44.6,6,2.8,172,5500,21.1,6,193,106,70,3405
23.7,30,36.2,4,3.5,208,5700,21.1,4,186,109,69,3640
14.2,15.7,17.3,4,2.2,110,5200,16.4,6,189,105,69,2880
19.9,20.8,21.7,6,3.8,170,4800,18,6,200,111,74,3470
22.6,23.7,24.9,6,5.7,180,4000,23,6,216,116,78,4105
26.3,26.3,26.3,6,3.8,170,4800,18.8,5,198,108,73,3495
33,34.7,36.3,8,4.9,200,4100,18,6,206,114,73,3620
37.5,40.1,42.7,8,4.6,295,6000,20,5,204,111,74,3935
8.5,13.4,18.3,4,2.2,110,5200,15.2,5,182,101,66,2490
11.4,11.4,11.4,4,2.2,110,5200,15.6,5,184,103,68,2785
13.4,15.1,16.8,6,3.4,160,4600,15.5,4,193,101,74,3240
13.4,15.9,18.4,4,2.2,110,5200,16.5,6,198,108,71,3195
14.7,16.3,18,6,3.8,170,4800,20,7,178,110,74,3715
14.7,16.6,18.6,6,4.3,165,4000,27,8,194,111,78,4025
18,18.8,19.6,8,5,170,4200,23,6,214,116,77,3910
34.6,38,41.5,8,5.7,300,5000,20,2,179,96,74,3380
18.4,18.4,18.4,6,3.3,153,5300,18,6,203,113,74,3515
14.5,15.8,17.1,4,3,141,5000,16,6,183,104,68,3085
29.5,29.5,29.5,6,3.3,147,4800,16,6,203,110,69,3570
7.9,9.2,10.6,4,1.5,92,6000,13.2,5,174,98,66,2270
8.4,11.3,14.2,4,2.2,93,4800,14,5,172,97,67,2670
11.9,13.3,14.7,4,2.5,100,4800,16,6,181,104,68,2970
13.6,19,24.4,6,3,142,5000,20,7,175,112,72,3705
14.8,15.6,16.4,4,2.5,100,4800,16,6,192,105,69,3080
18.5,25.8,33.1,6,3,300,6000,19.8,4,180,97,72,3805
7.9,12.2,16.5,4,1.5,92,6000,13.2,5,174,98,66,2295
17.5,19.3,21.2,6,3.5,214,5800,18,6,202,113,74,3490
6.9,7.4,7.9,4,1.3,63,5000,10,4,141,90,63,1845
8.4,10.1,11.9,4,1.8,127,6500,13.2,5,171,98,67,2530
10.4,11.3,12.2,4,2.3,96,4200,15.9,5,177,100,68,2690
10.8,15.9,21,4,2.3,105,4600,15.4,4,180,101,68,2850
12.8,14,15.2,4,2,115,5500,15.5,4,179,103,70,2710
14.5,19.9,25.3,6,3,145,4800,21,7,176,119,72,3735
15.6,20.2,24.8,6,3,140,4800,16,5,192,106,71,3325
20.1,20.9,21.7,8,4.6,190,4200,20,6,212,114,78,3950
6.7,8.4,10,3,1,55,5700,10.6,4,151,93,63,1695
11.5,12.5,13.5,4,1.6,90,5400,12.4,4,164,97,67,2475
17,19.8,22.7,4,2.3,160,5800,15.9,4,175,100,70,2865
8.4,12.1,15.8,4,1.5,102,5900,11.9,4,173,103,67,2350
